iter	RMSE
0	12.9444261
1	12.21559472
2	11.59682653
3	11.02768756
4	10.55355006
5	10.12214192
6	9.760890191
7	9.426728246
8	9.144344513
9	8.888420274
10	8.668600969
11	8.485275282
12	8.330912947
13	8.187209099
14	8.061747509
15	7.946474763
16	7.860625298
17	7.771970587
18	7.709078965
19	7.644156949
20	7.587288409
21	7.531686486
22	7.482554213
23	7.428894026
24	7.392040302
25	7.360834407
26	7.328836439
27	7.30001981
28	7.266745871
29	7.23947751
30	7.218120191
31	7.198323933
32	7.179057452
33	7.162327839
34	7.147220174
35	7.132007422
36	7.115598051
37	7.100237622
38	7.087571311
39	7.074396152
40	7.060586183
41	7.047174604
42	7.036415582
43	7.020300036
44	7.009580323
45	6.99681475
46	6.985993633
47	6.967961731
48	6.959566205
49	6.949105197
50	6.943013058
51	6.934000919
52	6.926990204
53	6.917185677
54	6.911797598
55	6.905637684
56	6.900265982
57	6.893938045
58	6.887839209
59	6.883648342
60	6.877316519
61	6.8715922
62	6.864164959
63	6.855169291
64	6.845171346
65	6.83662071
66	6.830060318
67	6.825066919
68	6.818441845
69	6.809014066
70	6.805638058
71	6.797408172
72	6.795044821
73	6.790218542
74	6.783243
75	6.775153412
76	6.770000557
77	6.762735427
78	6.756522728
79	6.749369364
80	6.741102737
81	6.738707237
82	6.733857327
83	6.7258679
84	6.722072026
85	6.713781177
86	6.706921494
87	6.703370466
88	6.699992814
89	6.696929382
90	6.692239458
91	6.685644776
92	6.681118067
93	6.675104207
94	6.669749256
95	6.665499699
96	6.660603249
97	6.658555788
98	6.65484759
99	6.65108099
