iter	Passed	Remaining
0	29	2888
1	36	1792
2	44	1435
3	52	1253
4	58	1119
5	65	1024
6	72	962
7	79	909
8	86	871
9	92	831
10	98	798
11	105	775
12	112	756
13	121	746
14	128	728
15	135	713
16	142	696
17	149	681
18	156	668
19	164	657
20	171	645
21	178	633
22	186	623
23	193	611
24	199	599
25	206	588
26	213	576
27	220	567
28	226	555
29	233	544
30	239	532
31	245	520
32	252	512
33	258	501
34	264	491
35	270	481
36	276	470
37	282	460
38	287	450
39	294	441
40	300	432
41	307	424
42	313	415
43	319	406
44	324	396
45	330	388
46	336	379
47	342	370
48	348	362
49	353	353
50	359	345
51	365	337
52	372	329
53	378	322
54	383	313
55	389	305
56	395	298
57	400	290
58	407	282
59	414	276
60	420	269
61	428	262
62	435	255
63	442	248
64	448	241
65	455	234
66	461	227
67	468	220
68	474	213
69	480	205
70	486	198
71	493	191
72	499	184
73	505	177
74	512	170
75	518	163
76	525	156
77	531	149
78	537	142
79	545	136
80	551	129
81	559	122
82	566	115
83	572	109
84	579	102
85	585	95
86	592	88
87	598	81
88	606	74
89	613	68
90	620	61
91	626	54
92	632	47
93	639	40
94	646	34
95	653	27
96	659	20
97	665	13
98	672	6
99	679	0
